theta_deg,phi_deg,dir_pec_dBi,dir_opt_dBi,in_target
0.5,257.5,19.851438501878157,12.156753409294899,false
0.5,262.5,19.851427363891048,12.181446699415817,false
0.5,267.5,19.851420791819965,12.205823118929848,false
0.5,272.5,19.85141900222146,12.229698716935465,false
0.5,277.5,19.85142204956695,12.252893169549278,false
0.5,282.5,19.851429824576062,12.275231070130507,false
0.5,287.5,19.85144205954997,12.29654319747918,false
0.5,292.5,19.851458340299843,12.316667756359525,false
0.5,297.5,19.851478123850093,12.335451583532123,false
0.5,302.5,19.851500760761482,12.352751311253181,false
0.5,307.5,19.85152552069281,12.368434479037253,false
0.5,312.5,19.85155161972189,12.382380583494408,false
0.5,317.5,19.85157824797634,12.394482055336107,false
0.5,322.5,19.851604596275592,12.404645152264242,false
0.5,327.5,19.851629880728662,12.412790756456216,false
0.5,332.5,19.85165336453931,12.418855065747463,false
0.5,337.5,19.85167437659871,12.422790168379851,false
0.5,342.49999999999994,19.851692326758453,12.424564492296089,false
0.5,347.5,19.851706717937233,12.42416312136667,false
0.5,352.5,19.85171715539565,12.421587972580038,false
0.5,357.5,19.85172335360059,12.416857830043579,false
1.5000000000000002,2.5,19.718278425581403,12.7869120791181,false
1.5000000000000002,7.499999999999999,19.718267662016142,12.75970605444082,false
1.5000000000000002,12.5,19.71822897118096,12.72637688131275,false
1.5000000000000002,17.5,19.71816095921576,12.68719054811717,false
1.5000000000000002,22.5,19.7180622267296,12.642461961302491,false
1.5000000000000002,27.5,19.717931829326492,12.592551855860027,false
1.5000000000000002,32.5,19.717769781990484,12.537863213687483,false
1.5000000000000002,37.5,19.717577534640622,12.478837214911431,false
1.5000000000000002,42.49999999999999,19.717358347013555,12.415948758144362,false
1.5000000000000002,47.5,19.71711750097402,12.34970160283378,false
1.5000000000000002,52.5,19.716862306263508,12.280623208840002,false
1.5000000000000002,57.5,19.71660187946052,12.20925937252019,false
1.5000000000000002,62.49999999999999,19.716346702722404,12.136168781400249,false
1.5000000000000002,67.5,19.71610799549641,12.061917627052107,false
1.5000000000000002,72.5,19.715896955623236,11.987074424240145,false
1.5000000000000002,77.5,19.71572394328628,11.912205180625008,false
1.5000000000000002,82.5,19.715597689990133,11.837869043419643,false
1.5000000000000002,87.5,19.71552461406344,11.764614517154863,false
1.5000000000000002,92.5,19.71550831408093,11.692976301805388,false
1.5000000000000002,97.5,19.71554929321339,11.623472746533512,false
1.5000000000000002,102.5,19.71564494296676,11.556603856434242,false
1.5000000000000002,107.49999999999999,19.715789786926518,11.492849734228738,false
1.5000000000000002,112.5,19.71597595724498,11.432669292558781,false
1.5000000000000002,117.5,19.71619385195884,11.376499041649332,false
1.5000000000000002,122.49999999999999,19.7164329026819,11.324751746624015,false
1.5000000000000002,127.50000000000001,19.716682371915507,11.277814761677657,false
1.5000000000000002,132.5,19.716932098308092,11.236047885100525,false
1.5000000000000002,137.5,19.717173116692713,11.199780637523133,false
1.5000000000000002,142.5,19.717398096541313,11.169308940720583,false
1.5000000000000002,147.49999999999997,19.717601565511178,11.144891258625641,false
1.5000000000000002,152.5,19.71777991121185,11.126744347013886,false
1.5000000000000002,157.5,19.717931180986874,11.115038834191015,false
1.5000000000000002,162.5,19.718054723176397,11.109894912931843,false
1.5000000000000002,167.5,19.718150731173715,11.11137845645493,false
1.5000000000000002,172.5,19.718219761499462,11.119497873462272,false
1.5000000000000002,177.5,19.718262297948467,11.134201987578937,false
1.5000000000000002,182.5,19.71827842558141,11.155379166846027,false
1.5000000000000002,187.5,19.71826766201614,11.182857844704463,false
1.5000000000000002,192.49999999999997,19.71822897118095,11.216408473554413,false
1.5000000000000002,197.5,19.71816095921576,11.255746845861022,false
1.5000000000000002,202.5,19.71806222672959,11.30053861700814,false
1.5000000000000002,207.5,19.71793182932651,11.350404779163911,false
1.5000000000000002,212.5,19.71776978199047,11.404927774906959,false
1.5000000000000002,217.5,19.71757753464064,11.463657908978275,false
1.5000000000000002,222.5,19.717358347013555,11.526119718494163,false
1.5000000000000002,227.5,19.717117500974023,11.591817994908853,false
1.5000000000000002,232.5,19.716862306263497,11.660243210312519,false
1.5000000000000002,237.49999999999997,19.716601879460505,11.730876179103081,false
1.5000000000000002,242.49999999999997,19.7163467027224,11.803191874902996,false
1.5000000000000002,247.49999999999997,19.716107995496408,11.876662412490656,false
1.5000000000000002,252.50000000000003,19.715896955623226,11.95075928666536,false
