theta_deg,phi_deg,dir_bempp_dBi
4.5,12.5,18.48732322993722
4.5,17.5,18.49029200307053
4.5,22.5,18.493549527567513
4.5,27.5,18.496638609995323
4.5,32.5,18.49910768952799
4.5,37.5,18.500567288621223
4.5,42.49999999999999,18.50073921823396
4.5,47.5,18.49949267655311
4.5,52.5,18.496862972084656
4.5,57.5,18.493050632824342
4.5,62.49999999999999,18.48840091490406
4.5,67.5,18.483365975274566
4.5,72.5,18.478454002804746
4.5,77.5,18.474171193922693
4.5,82.5,18.470963413099874
4.5,87.5,18.469164540009693
4.5,92.5,18.468957800326812
4.5,97.5,18.470354847659067
4.5,102.5,18.47319518288938
4.5,107.49999999999999,18.47716595310091
4.5,112.5,18.481839622955086
4.5,117.5,18.486724815706705
4.5,122.49999999999999,18.491324070807917
4.5,127.50000000000001,18.49519153703468
4.5,132.5,18.4979837596969
4.5,137.5,18.499497656528266
4.5,142.5,18.499691355250437
4.5,147.49999999999997,18.498685586851447
4.5,152.5,18.49674557470529
4.5,157.5,18.49424560912061
4.5,162.5,18.491620528061944
4.5,167.5,18.489309919845365
4.5,172.5,18.48770182213724
4.5,177.5,18.487082857944827
4.5,182.5,18.487601049707823
4.5,187.5,18.489246029387843
4.5,192.49999999999997,18.491849189332655
4.5,197.5,18.495103785346096
4.5,202.5,18.49860246787922
4.5,207.5,18.501887537965235
4.5,212.5,18.504507692036192
4.5,217.5,18.506074309049097
4.5,222.5,18.50631048801391
4.5,227.5,18.50508699147859
4.5,232.5,18.502440836206524
4.5,237.49999999999997,18.498574296778628
4.5,242.49999999999997,18.493834334474244
4.5,247.49999999999997,18.48867471202287
4.5,252.50000000000003,18.483605084015807
4.5,257.5,18.479132945762537
4.5,262.5,18.475705279845343
4.5,267.5,18.473656903528443
4.5,272.5,18.47317181693264
4.5,277.5,18.474262322781307
4.5,282.5,18.476768506337145
4.5,287.5,18.480378117996814
4.5,292.5,18.484664349050608
4.5,297.5,18.489136792639016
4.5,302.5,18.49329932914119
4.5,307.5,18.49670794506474
4.5,312.5,18.499021632501986
4.5,317.5,18.500040451256822
4.5,322.5,18.499726414023595
4.5,327.5,18.498204877184968
4.5,332.5,18.495746368714695
4.5,337.5,18.492731038940505
4.5,342.49999999999994,18.489599957769006
4.5,347.5,18.48679908493705
4.5,352.5,18.48472270624606
4.5,357.5,18.48366330126087
5.5,2.5,17.75487622836225
5.5,7.499999999999999,17.7579695383963
5.5,12.5,17.763566074253255
5.5,17.5,17.77094683301574
5.5,22.5,17.779150452162867
5.5,27.5,17.78709253892562
5.5,32.5,17.793699602658418
5.5,37.5,17.79804104077381
5.5,42.49999999999999,17.799443488459627
