theta_deg,dir_pec_dBi,dir_opt_dBi
133.5,-4.102048818064153,-5.501176459275564
133.5,-4.130538531431991,-6.594852045876063
134.5,-2.513179449717841,-1.934598764840991
134.5,-2.532678545299896,-2.683580052369101
135.5,-1.2349777088369842,0.8917411243884852
135.5,-1.2488842177993413,0.3651066941169046
136.5,-0.21753599936686135,3.1972775535106157
136.5,-0.22772177041884664,2.815419751100513
137.5,0.5701805292753256,5.133957360751671
137.5,0.5626210257195073,4.852071909760092
138.5,1.145537590779007,6.795887466287276
138.5,1.1399381316411668,6.5862528450172375
139.5,1.5152184993405016,8.242808258883214
139.5,1.5111659776639654,8.08692271194174
140.5,1.676392571152066,9.514145433460184
140.5,1.67363423118391,9.398834763803489
141.5,1.6162543814164403,10.636823785372556
141.5,1.6146474446797445,10.552198194076151
142.5,1.309639186815546,11.629716103095994
142.5,1.309124365998335,11.568026410994626
143.5,0.7136136765826261,12.506276931099373
143.5,0.7142033210766329,12.4612351427225
144.5,-0.2437883452327696,13.276161044977886
144.5,-0.242014946745904,13.242514458296581
145.5,-1.6880144558090713,13.946248756279093
145.5,-1.6849315056543104,13.919499300379112
146.5,-3.8562540656706923,14.521308788926351
146.5,-3.85186979866788,14.497518733439097
147.5,-7.247230719755652,15.004429114614066
147.5,-7.243315400204921,14.980079381650132
148.5,-12.667622264984786,15.397291159733644
148.5,-12.688360692634538,15.369171693233897
149.5,-12.95446516160623,15.700331082516104
149.5,-13.02797206934348,15.665449823726348
150.5,-6.760670652176134,15.912812225759623
150.5,-6.793091760334415,15.868312923861597
151.5,-2.5880518414444422,16.03281941585964
151.5,-2.6066395341565456,15.975900045843801
152.5,0.27565378066026336,16.05717495617853
152.5,0.26286500816405567,15.984998422052687
153.5,2.3613738180613644,15.981265380966436
153.5,2.351714956180344,15.890852417426217
154.5,3.9147844380484442,15.798754772213082
154.5,3.907097437354609,15.686844936787086
155.5,5.058807297272732,15.50114134318848
155.5,5.052493397849789,15.364000290274467
156.5,5.856270377665234,15.077083643881565
156.5,5.850980482556652,14.91022047935312
157.5,6.334634817593695,14.511371540992624
157.5,6.330146514415943,14.309102605014004
158.5,6.49506565532128,13.78332748199121
158.5,6.49122662794265,13.538068487651271
159.5,6.312580929548119,12.864264164943005
159.5,6.30927922595567,12.565319527082895
160.5,5.727172952396416,11.713349833000645
160.5,5.7243178244639115,11.344721580928354
161.5,4.618378326325309,10.27084730319848
161.5,4.615880005273963,9.807033959711069
162.5,2.7351652846316488,8.447837922004446
162.5,2.732885663639713,7.84545318785291
163.5,-0.5406997992327975,6.118079793952136
163.5,-0.5432092756452325,5.3005903244829735
164.5,-7.403435034664706,3.179180414788256
164.5,-7.410760267180148,2.0405560398543363
165.5,-10.42222488073753,0.1903315501210608
165.5,-10.4414346466288,-1.0178868883955658
166.5,-0.23972733463183069,0.0024229383319636887
166.5,-0.24327663412677714,-0.17083447032524923
167.5,4.869174962010183,2.758697154988765
167.5,4.86724758282099,3.0934511600207197
168.5,8.27343287883221,5.537127567811744
168.5,8.27209609539951,5.89470493264033
169.5,10.815013988666742,7.701319519111626
